FirstName,LastName,ADP_SF,Position,Y0_VORP,Y1_VORP,Y2_VORP,Y3_VORP,Y4_VORP,Y5_VORP,Y6_VORP,Y7_VORP,Y8_VORP,Y9_VORP,Y10_VORP,Y11_VORP,Y12_VORP,Y13_VORP,Y14_VORP,Y15_VORP,Y16_VORP,Y17_VORP,Y18_VORP,Y19_VORP,Y20_VORP
Aaron,Rodgers,87.7,QB,3.047581864,1.00772136,0.266425824,1.058817732,1.240070193,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178,0.134430178
Khalil,Herbert,138.6,RB,0.564117647,1.0889589,0.946601556,0.599070559,0.417856352,0.30557932,0.201743489,0.121601025,0.062089589,0.00577128,0.009206393,0,0,0,0,0,0,0,0,0,0
Jerick,McKinnon,181.5,RB,0.975236928,0.780712807,0.424348309,0.058907725,0.0199086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geno,Smith,78.6,QB,3.154409673,2.446795192,1.606474697,1.035993798,1.63565324,1.849759643,0.75976023,0.467901784,0.100469941,0.05116886,0.257337016,0.30215618,0.028759278,0.028759278,0.028759278,0.028759278,0.028759278,0.028759278,0.028759278,0.028759278,0.028759278
Russell,Wilson,91.3,QB,3.434930226,0.849272859,1.790903155,2.165119648,0.769013552,0.613815367,0.065976681,0,0.129178739,0.165043196,0,0,0,0,0,0,0,0,0,0,0
Anthony,Richardson,16,QB,1.972105317,4.110010054,3.701533585,4.360544525,4.171057939,3.886917907,4.055302363,3.85589459,3.900755735,3.604425483,3.675667886,3.397301853,2.803711913,2.251553848,1.842571893,1.045762914,0.428081664,0.115588364,0,0,0
Rashaad,Penny,147.3,RB,0.673789916,0.783956008,0.547990287,0.355479994,0.236694975,0.148172856,0.057495895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach,Charbonnet,93,RB,0,1.451740097,1.661068461,1.382966844,1.316865489,1.034610248,0.558168796,0.419965117,0.286885521,0.104131106,0.071981526,0.102849962,0.061203692,0,0,0,0,0,0,0,0
Jeff,Wilson,210,RB,1.635712475,1.163037624,0.724679739,0.62081708,0.432463003,0.224606966,0.105717221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem,Mostert,207.5,RB,0.217771836,0.719075856,0.281560325,0.063646632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadarius,Toney,104,WR,0.826126993,1.563351574,1.370653076,1.264478656,0.995462065,0.838872087,0.516727292,0.475288823,0.243425763,0.16444207,0.042643147,0,0.003152602,0,0,0,0,0,0,0,0
Quentin,Johnston,54.1,WR,0.516851211,2.19239374,1.589515466,1.911766818,1.989761701,1.689102092,1.575460821,1.154445505,0.864264476,0.53257985,0.315116959,0.07179573,0,0,0,0,0,0,0,0,0
Michael,Gallup,198.7,WR,0.780386555,0.648374948,0.540776727,0.272752977,0.217437272,0.035450411,0.0055327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
